[2024-02-17 15:36:22] Listening for connections on 127.0.0.1:8001
[2024-02-17 15:36:25] Connected to 127.0.0.1:7000
[2024-02-17 15:36:25] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:36:25] Received data from :('127.0.0.1', 7000): PEERS-127.0.0.1,8000
[2024-02-17 15:36:28] Accepted connection from ('127.0.0.1', 53659)
[2024-02-17 15:36:28] Connection from ('127.0.0.1', 53659) opened.
[2024-02-17 15:36:28] Sending heartbeat to ('127.0.0.1', 53659)
[2024-02-17 15:36:28] Received data from :123456: STORE-127.0.0.1:8003
[2024-02-17 15:36:28] data from :8003: STORE-127.0.0.1:8003
[2024-02-17 15:36:30] Accepted connection from ('127.0.0.1', 53664)
[2024-02-17 15:36:30] Connection from ('127.0.0.1', 53664) opened.
[2024-02-17 15:36:30] Sending heartbeat to ('127.0.0.1', 53664)
[2024-02-17 15:36:30] Received data from :123456: STORE-127.0.0.1:8004
[2024-02-17 15:36:30] data from :8004: STORE-127.0.0.1:8004
[2024-02-17 15:36:38] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:36:41] Received data from :8003: HEARTBEAT
[2024-02-17 15:36:41] Sending heartbeat to ('127.0.0.1', 53659)
[2024-02-17 15:36:43] Sending heartbeat to ('127.0.0.1', 53664)
[2024-02-17 15:36:43] Received data from :8004: HEARTBEAT
[2024-02-17 15:36:51] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:36:54] Sending heartbeat to ('127.0.0.1', 53659)
[2024-02-17 15:36:54] Received data from :8003: HEARTBEAT
[2024-02-17 15:36:56] Sending heartbeat to ('127.0.0.1', 53664)
[2024-02-17 15:36:56] Received data from :8004: HEARTBEAT
[2024-02-17 15:37:04] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:37:07] Received data from :8003: HEARTBEAT
[2024-02-17 15:37:07] Sending heartbeat to ('127.0.0.1', 53659)
[2024-02-17 15:37:09] Sending heartbeat to ('127.0.0.1', 53664)
[2024-02-17 15:37:09] Received data from :8004: HEARTBEAT
[2024-02-17 15:37:17] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:37:20] Received data from :8003: HEARTBEAT
[2024-02-17 15:37:20] Sending heartbeat to ('127.0.0.1', 53659)
[2024-02-17 15:37:22] Received data from :8004: HEARTBEAT
[2024-02-17 15:37:22] Sending heartbeat to ('127.0.0.1', 53664)
[2024-02-17 15:37:30] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:37:33] Received data from :8003: HEARTBEAT
[2024-02-17 15:37:33] Sending heartbeat to ('127.0.0.1', 53659)
[2024-02-17 15:37:35] Received data from :8004: HEARTBEAT
[2024-02-17 15:37:35] Sending heartbeat to ('127.0.0.1', 53664)
[2024-02-17 15:37:43] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:37:46] Received data from :8003: HEARTBEAT
[2024-02-17 15:37:46] Sending heartbeat to ('127.0.0.1', 53659)
[2024-02-17 15:37:48] Sending heartbeat to ('127.0.0.1', 53664)
[2024-02-17 15:37:48] Received data from :8004: HEARTBEAT
[2024-02-17 15:37:56] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:37:59] Received data from :8003: HEARTBEAT
