[2024-02-17 15:36:22] Listening for connections on 127.0.0.1:8004
[2024-02-17 15:36:29] Connected to 127.0.0.1:7000
[2024-02-17 15:36:29] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:36:29] Received data from :('127.0.0.1', 7000): PEERS-127.0.0.1,8000-127.0.0.1,8001-127.0.0.1,8002-127.0.0.1,8003
[2024-02-17 15:36:30] Connected to 127.0.0.1:8000
[2024-02-17 15:36:30] Sending heartbeat to ('127.0.0.1', 8000)
[2024-02-17 15:36:30] Connected to 127.0.0.1:8001
[2024-02-17 15:36:30] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:36:30] Connected to 127.0.0.1:8002
[2024-02-17 15:36:30] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:36:30] Connected to 127.0.0.1:8003
[2024-02-17 15:36:30] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:36:42] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:36:43] Sending heartbeat to ('127.0.0.1', 8000)
[2024-02-17 15:36:43] Received data from :('127.0.0.1', 8000): HEARTBEAT
[2024-02-17 15:36:43] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:36:43] Received data from :('127.0.0.1', 8001): HEARTBEAT
[2024-02-17 15:36:43] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:36:43] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:36:43] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:36:43] Received data from :('127.0.0.1', 8003): HEARTBEAT
[2024-02-17 15:36:55] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:36:56] Sending heartbeat to ('127.0.0.1', 8000)
[2024-02-17 15:36:56] Received data from :('127.0.0.1', 8000): HEARTBEAT
[2024-02-17 15:36:56] Received data from :('127.0.0.1', 8001): HEARTBEAT
[2024-02-17 15:36:56] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:36:56] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:36:56] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:36:56] Received data from :('127.0.0.1', 8003): HEARTBEAT
[2024-02-17 15:36:56] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:37:08] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:37:09] Sending heartbeat to ('127.0.0.1', 8000)
[2024-02-17 15:37:09] Received data from :('127.0.0.1', 8000): HEARTBEAT
[2024-02-17 15:37:09] Received data from :('127.0.0.1', 8001): HEARTBEAT
[2024-02-17 15:37:09] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:37:09] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:37:09] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:37:09] Received data from :('127.0.0.1', 8003): HEARTBEAT
[2024-02-17 15:37:09] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:37:11] Connection from 8000 closed.
[2024-02-17 15:37:21] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:37:22] Connection from 8000 closed.
[2024-02-17 15:37:22] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:37:22] Received data from :('127.0.0.1', 8001): HEARTBEAT
[2024-02-17 15:37:22] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:37:22] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:37:22] Received data from :('127.0.0.1', 8003): HEARTBEAT
[2024-02-17 15:37:22] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:37:34] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:37:35] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:37:35] Received data from :('127.0.0.1', 8001): HEARTBEAT
[2024-02-17 15:37:35] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:37:35] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:37:35] Received data from :('127.0.0.1', 8003): HEARTBEAT
[2024-02-17 15:37:35] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:37:47] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:37:48] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:37:48] Received data from :('127.0.0.1', 8001): HEARTBEAT
[2024-02-17 15:37:48] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:37:48] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:37:48] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:37:48] Received data from :('127.0.0.1', 8003): HEARTBEAT
[2024-02-17 15:38:00] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:38:01] Received data from :('127.0.0.1', 8001): HEARTBEAT
[2024-02-17 15:38:01] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:38:01] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:38:01] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:38:01] Received data from :('127.0.0.1', 8003): HEARTBEAT
[2024-02-17 15:38:01] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:38:13] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:38:14] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:38:14] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:38:14] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:38:14] Received data from :('127.0.0.1', 8001): HEARTBEAT
[2024-02-17 15:38:14] Received data from :('127.0.0.1', 8003): HEARTBEAT
[2024-02-17 15:38:14] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:38:26] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:38:27] Received data from :('127.0.0.1', 8001): HEARTBEAT
[2024-02-17 15:38:27] Sending heartbeat to ('127.0.0.1', 8001)
[2024-02-17 15:38:27] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:38:27] Sending heartbeat to ('127.0.0.1', 8003)
[2024-02-17 15:38:27] Sending heartbeat to ('127.0.0.1', 8002)
[2024-02-17 15:38:27] Received data from :('127.0.0.1', 8003): HEARTBEAT
[2024-02-17 15:38:39] Sending heartbeat to ('127.0.0.1', 7000)
[2024-02-17 15:38:40] Received data from :('127.0.0.1', 8002): HEARTBEAT
[2024-02-17 15:38:40] Sending heartbeat to ('127.0.0.1', 8001)
